base_market,quote_market,p_value,hedge_ratio,half_life,zero_crossing
SNX-USD,DOGE-USD,0.007056645103688607,31.065946865536375,22.0,13
XTZ-USD,LINK-USD,0.04194697645205636,0.15229131500210008,13.0,13
XTZ-USD,CELO-USD,0.017848490309312837,1.6584235771154137,12.0,16
XTZ-USD,XLM-USD,0.04661066033112525,10.526501043305634,16.0,13
XTZ-USD,ALGO-USD,0.02342738042362299,5.093727103593597,13.0,19
XTZ-USD,UNI-USD,0.005683961510853815,0.18520648105688087,11.0,10
XTZ-USD,MATIC-USD,0.004428222933958062,1.0010596911588614,8.0,14
XTZ-USD,1INCH-USD,0.045339352757580095,2.0866128993704156,21.0,10
ICP-USD,YFI-USD,0.03996029784527679,0.0005811917938164018,8.0,12
ETC-USD,ADA-USD,0.029980789088225112,53.43494029501794,7.0,18
ETC-USD,BTC-USD,0.0288159191546157,0.0007297393530937538,12.0,17
LINK-USD,XLM-USD,0.04511907494604722,69.12305824843018,10.0,12
LINK-USD,UMA-USD,0.03470363146412293,3.510578589488614,14.0,28
LINK-USD,1INCH-USD,0.003345079525965604,13.701314650990344,13.0,16
CELO-USD,ENJ-USD,0.0018510057360352147,1.6001258148491417,22.0,26
CELO-USD,FIL-USD,0.0019757179018575766,0.11680150217997379,13.0,18
CELO-USD,TRX-USD,0.00100755595803073,10.181291926695398,9.0,18
CELO-USD,YFI-USD,0.004096397479893976,7.680444104170689e-05,15.0,10
CELO-USD,COMP-USD,0.004071928517200288,0.01561385339751293,11.0,14
CELO-USD,XLM-USD,0.022237129803862606,6.339923595515922,18.0,16
CELO-USD,EOS-USD,0.0008009914760364616,0.559265670997178,14.0,15
CELO-USD,NEAR-USD,0.0019491631659790793,0.33459964617754284,16.0,10
CELO-USD,XMR-USD,0.0027943237037938574,0.004228335747658064,13.0,12
CELO-USD,SUSHI-USD,0.0031980654405964408,0.6068961258522068,9.0,20
CELO-USD,UMA-USD,0.0008366905553302828,0.32203450965534725,12.0,18
CELO-USD,DOT-USD,0.008342405108615746,0.10655178815072872,14.0,12
CELO-USD,CRV-USD,0.0005643210226658608,0.6842045263585009,18.0,14
CELO-USD,LTC-USD,0.009400075513150242,0.007303007997093993,13.0,16
CELO-USD,AAVE-USD,0.0012572761873136668,0.008821726119336248,15.0,20
CELO-USD,UNI-USD,0.006489061070420137,0.11155021830148798,11.0,20
CELO-USD,MATIC-USD,0.0032674151555484657,0.602972922254223,10.0,12
CELO-USD,1INCH-USD,1.6004883654430588e-05,1.2570672677447976,13.0,20
CELO-USD,AVAX-USD,0.001723215804760728,0.03793458323393256,12.0,12
CELO-USD,ETH-USD,0.0006093691584376387,0.0003613495028298502,12.0,12
YFI-USD,XMR-USD,0.0414803670455215,55.03493915832459,16.0,11
COMP-USD,XMR-USD,0.015908300597950516,0.27080758159500157,11.0,12
COMP-USD,LTC-USD,0.0022345622784483567,0.4677630382575745,7.0,18
COMP-USD,UNI-USD,0.04268169548317853,7.143991135131223,9.0,16
COMP-USD,MATIC-USD,0.008253609732823774,38.615071289668904,5.0,18
COMP-USD,1INCH-USD,0.047513427208494406,80.48717863652078,19.0,19
XLM-USD,XMR-USD,0.008466772778154056,0.0006664894292233866,24.0,12
XLM-USD,UMA-USD,0.014113563488388589,0.050762061655058394,18.0,16
XLM-USD,LTC-USD,0.034368341362088745,0.001151234239518926,18.0,21
XLM-USD,1INCH-USD,0.015231524482488202,0.19814909891163993,18.0,12
ALGO-USD,UMA-USD,0.0016586884208480064,0.1049413011613981,14.0,21
ALGO-USD,UNI-USD,0.01536221283814197,0.03634413376873106,22.0,16
ALGO-USD,1INCH-USD,1.392060823887182e-06,0.40960487385059097,14.0,21
XMR-USD,AVAX-USD,0.019567082439280997,8.968360823153713,24.0,12
SUSHI-USD,ETH-USD,0.04056154033815403,0.0005954333392698817,7.0,17
ADA-USD,BTC-USD,0.03621186382381557,1.3653723875605466e-05,11.0,12
ADA-USD,ETH-USD,0.043286015205657995,0.0002101304778059652,13.0,18
UMA-USD,DOT-USD,0.025969735524789168,0.33072950800642853,19.0,13
UMA-USD,LTC-USD,0.024976731764375433,0.022670581206356823,12.0,17
UMA-USD,UNI-USD,0.028167846771125195,0.346233498666618,17.0,23
UMA-USD,MATIC-USD,0.037348037627102565,1.8715541201823136,10.0,19
UMA-USD,1INCH-USD,0.023691203956146822,3.901203664034421,18.0,22
UMA-USD,AVAX-USD,0.017151151851861945,0.11773385271719114,23.0,19
MATIC-USD,1INCH-USD,0.01628991768533177,2.0842756245349756,22.0,16
